feature_group,Sheepshead (Adult),Sheepshead (Recruit),Blue Crab (Recruit),Common Snook (Adult),Common Snook (Sub-adult),Spotted Seatrout (Adult),Spotted Seatrout (Recruit),Gray Snapper (Recruit),Gray Snapper (Sub-adult),Gag Grouper (Sub-adult),Red Drum (Recruit),Red Drum (Sub-adult)
env,26.832421875,5.330984497070313,61.958203125,23.6248046875,0.9406517028808594,-3.34466552734375,28.962255859375,-5.648922729492187,18.9375,5.699496459960938,0.839019775390625,45.071533203125
restoration,26.7343994140625,-2.2270278930664062,116.3796875,-7.360107421875,-0.11202316284179688,-6.7751708984375,64.4170654296875,0.2398773193359375,-3.821270751953125,2.3625701904296874,2.51046142578125,49.5989013671875
habitat_structured,-1.917333984375,3.596296691894531,115.9483154296875,5.659716796875,-1.6237205505371093,-14.645458984375,59.2015869140625,18.840176391601563,1.52861328125,3.42064208984375,-2.59879150390625,2.839453125
habitat_open,-24.0031005859375,3.1905197143554687,22.5533447265625,-13.3140625,0.8194114685058593,-26.431103515625,26.125,1.4052001953125,21.537689208984375,10.854695129394532,4.4782470703125,0.90986328125
shoreline,4.226904296875,9.340386962890625,146.5335693359375,71.331396484375,-0.284014892578125,-26.35751953125,11.746630859375,11.455764770507812,23.958251953125,6.381541442871094,6.465521240234375,-0.17822265625
water_effort,44.01806640625,-3.7197723388671875,42.860205078125,100.75322265625,-0.02768402099609375,9.29434814453125,-1.9064453125,-10.840338134765625,12.117352294921876,5.227143859863281,-1.0108856201171874,2.0770751953125
bycatch,18.3836669921875,-1.5695480346679687,36.469580078125,4.666943359375,-0.7435371398925781,5.955615234375,-12.138232421875,-5.4947021484375,-9.39906005859375,-5.057673645019531,4.899493408203125,3.6189697265625
na_indicators,16.1609375,3.841752624511719,-6.3190185546875,0.1931640625,-0.09963226318359375,-5.6172119140625,9.00068359375,5.9130615234375,6.61610107421875,-1.3857925415039063,-1.17755126953125,-23.8500244140625
prey_community,22.18857421875,24.741297912597656,290.88486328125,100.420556640625,-0.8813621520996093,-11.5070556640625,177.2061279296875,52.270321655273435,15.557354736328126,4.957499694824219,0.395977783203125,26.5105712890625
nonprey_community,51.8427001953125,7.857281494140625,115.857275390625,108.22890625,-3.8723373413085938,54.0892333984375,69.1600341796875,22.811383056640626,31.013690185546874,46.973052978515625,-6.306643676757813,76.7751953125
